Variant,Size,Threads,SequentialTime,ParallelTime,Speedup,Efficiency
naive,700000,4,0.062000,0.015000,4.133339,1.033335
naive,750000,4,0.079000,0.031000,2.548392,0.637098
naive,800000,4,0.078000,0.015000,5.200037,1.300009
naive,850000,4,0.078000,0.031000,2.516135,0.629034
naive,900000,4,0.078000,0.016000,4.874982,1.218745
naive,950000,4,0.093000,0.016000,5.812490,1.453122
naive,1000000,4,0.094000,0.031000,3.032255,0.758064
cache,700000,4,0.015000,0.047000,0.319151,0.079788
cache,750000,4,0.015000,0.047000,0.319150,0.079787
cache,800000,4,0.015000,0.047000,0.319147,0.079787
cache,850000,4,0.016000,0.047000,0.340426,0.085106
cache,900000,4,0.016000,0.047000,0.340423,0.085106
cache,950000,4,0.031000,0.047000,0.659574,0.164893
cache,1000000,4,0.016000,0.062000,0.258065,0.064516
